ID,sp,sp.x,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,sp.y,oral_PC1,oral_PC2,d15N,d13C
JUF7,TeldhN,TeldhN,0.00495112040763129,0.0146962717092379,NA,NA,NA,0.00299084582340369,-0.00133931897566825,6.828360168,-21.20352593
JUF8,TeldhN,TeldhN,0.0152146422574185,0.0224939811716049,NA,NA,NA,0.000203805158743273,0.00272873460839888,6.671756607,-20.8579629
JUH5,Neobri,Neobri,0.0136755655262432,-0.00529692988686077,NA,NA,NA,0.0129439959415016,0.00441656879416299,8.106183441,-21.61940158
JUH6,Neobri,Neobri,-0.00492765728324711,-0.0175849727820431,-0.011873776516587,0.0292083307487663,Neobri,0.0162443206343064,0.001929162889938,7.70690738,-21.54913556
JUH7,Neobri,Neobri,0.00675189407384983,-0.0154479756612667,NA,NA,NA,0.0167350459832497,0.00431774135158856,7.739712351,-21.77919725
JUH8,Neobri,Neobri,-0.00477241879567092,-0.00856526074493641,NA,NA,NA,0.0158781242787617,-0.00140945147500565,7.961033765,-21.68071496
JUI2,Neobri,Neobri,0.0105421670476192,-0.0153447967713566,NA,NA,NA,0.0142418204991622,-0.00344912922009149,7.494767338,-22.35704932
JUI3,Neobri,Neobri,-0.00326796816693194,-0.0122853919824082,NA,NA,NA,0.0146315480214042,-0.000548247514152121,8.149973608,-21.60693886
JUI4,Neobri,Neobri,0.0119298000103517,-0.00536167756881722,0.0243636875544004,0.0274351452080454,Neobri,0.0118294943961206,0.00253138975359923,7.060586867,-22.21558149
JUI5,Neobri,Neobri,0.0091919713534968,-0.00606675662424244,0.0320638076108174,0.0419005173808123,Neobri,0.00959031662178273,0.00171510668979974,6.826040377,-22.46014881
JUI7,Neobri,Neobri,0.0129310807403835,-0.00586814812993324,-0.0156988837878193,0.0502849379637086,Neobri,0.0137616593758096,0.000851465766493222,7.55896295,-21.69179982
JUI8,Neobri,Neobri,0.00730027619577371,-0.0053520134185085,0.00282670833950904,0.0407672873452191,Neobri,0.0124546294264692,-0.00140430771421703,7.321418106,-21.99343285
JVA2,Neomon,Neomon,0.0107199229046192,0.0150250956684954,0.0667448664688709,-0.00524960174298048,Neomon,0.00585747902561809,0.00473451894213267,7.997713144,-18.34907442
JVA5,Neomon,Neomon,0.0180259222049116,0.0192702065091764,0.103694043590105,0.0134979756065676,Neomon,0.00359701849428742,0.0069197070734247,7.263767452,-16.50600539
JVA6,Neomon,Neomon,0.0133394534999696,0.0182405231859056,NA,NA,NA,0.00265865619504623,0.00444607302813566,6.859684699,-15.07463668
JVA9,Neomon,Neomon,-0.00325674903382484,0.0120201589180278,0.0989596631676177,-0.0136007707143038,Neomon,0.00707626793995219,0.00485682049001984,6.765668897,-15.40536486
JVB1,Neomon,Neomon,0.0139993191563036,0.0213252211739702,0.0969486546848139,0.0166728434063233,Neomon,0.00104074537693796,0.00337085324208556,7.325230211,-16.17791952
JVB2,Neomon,Neomon,0.0143108318932064,0.0205328780132127,NA,NA,NA,0.00461611751939294,0.00451213839073525,6.847658899,-15.49008427
JVB3,Neomon,Neomon,0.0170277931476957,0.0185530882810688,NA,NA,NA,0.0046593280232786,0.00782305436476647,6.812745201,-15.70709702
